"QID","P49","P49QP52","1P49","1P49Q52","2P49","2P49Q52","3P49","3P49Q52","4P49","4P49Q52"
"Q1054","Q2615","0.557","Q1197","0.559","Q1084","0.7915","Q1037","0.8447","Q1049","0.8677"
"Q1084","Q1197","0.7412","Q1029","0.7523","Q1054","0.7915","Q1018","0.8138","Q1047","0.8178"
"Q2615","Q1054","0.557","Q1197","0.5621","Q2125","0.7241","Q1065","0.7711","Q2240","0.7935"
"Q1197","Q1054","0.559","Q2615","0.5621","Q1084","0.7412","Q2105","0.8663","Q1034","0.8782"
"Q1071","Q3984","0.7427","Q1429","0.7612","Q1051","0.7718","Q1656","0.7943","Q1039","0.8125"
"Q1051","Q2207","0.6635","Q1048","0.6705","Q1073","0.6891","Q1656","0.7067","Q1123","0.7108"
"Q1033","Q1048","0.5268","Q1039","0.7538","Q1656","0.7588","Q1027","0.7716","Q1426","0.7778"
"Q1426","Q1033","0.7778","Q2441","0.7915","Q1048","0.8425","Q1013","0.8599","Q1429","0.8655"
"Q2441","Q1426","0.7915","Q1089","0.858","Q2105","0.8764","Q1048","0.8781","Q1148","0.8854"
"Q1048","Q2207","0.5097","Q1033","0.5268","Q1656","0.6215","Q1051","0.6705","Q1123","0.684"
"Q1039","Q1656","0.4369","Q1033","0.7538","Q1048","0.7583","Q1047","0.7836","Q1027","0.7897"
"Q1047","Q1656","0.6213","Q1051","0.7733","Q1039","0.7836","Q1048","0.7861","Q2207","0.815"
"Q1656","Q1039","0.4369","Q1047","0.6213","Q1048","0.6215","Q1051","0.7067","Q2207","0.7222"
"Q1081","Q2471","0.5531","Q2319","0.7371","Q1046","0.7464","Q3985","0.8044","Q3978","0.8087"
"Q2319","Q2471","0.5961","Q1046","0.7076","Q1081","0.7371","Q1064","0.8892","Q2549","0.8926"
"Q1046","Q2471","0.4255","Q2319","0.7076","Q1081","0.7464","Q1148","0.7529","Q1064","0.7885"
"Q2471","Q1046","0.4255","Q1081","0.5531","Q2319","0.5961","Q1148","0.821","Q2105","0.8296"
"Q1121","Q1125","0.7935","Q1046","0.8718","Q2549","0.8736","Q1123","0.8899","Q1018","0.894"
"Q2549","Q1148","0.6507","Q1089","0.7563","Q1125","0.7631","Q1093","0.7921","Q2105","0.8042"
"Q1125","Q2549","0.7631","Q1121","0.7935","Q1022","0.8138","Q3985","0.8169","Q1035","0.8223"
"Q1123","Q1048","0.684","Q2207","0.7101","Q1051","0.7108","Q1656","0.797","Q1028","0.8042"
"Q1093","Q3985","0.6469","Q1148","0.6615","Q2105","0.7548","Q2549","0.7921","Q1065","0.8315"
"Q1918","Q1065","0.2543","Q2125","0.7805","Q2000","0.7986","Q1429","0.8004","Q2615","0.8123"
"Q1065","Q1918","0.2543","Q2125","0.7455","Q2615","0.7711","Q2000","0.7761","Q2105","0.8026"
"Q2105","Q2240","0.7469","Q1093","0.7548","Q1148","0.7941","Q1065","0.8026","Q2549","0.8042"
"Q2000","Q1065","0.7761","Q1918","0.7986","Q1035","0.8399","Q1032","0.866","Q2615","0.8866"
"Q3983","Q1029","0.4519","Q1018","0.5578","Q1034","0.5598","Q1049","0.5977","Q1021","0.6635"
"Q1018","Q1029","0.4571","Q3983","0.5578","Q1021","0.6238","Q1049","0.6281","Q1034","0.6444"
"Q1021","Q1034","0.5168","Q1029","0.533","Q1049","0.5801","Q1016","0.5887","Q1018","0.6238"
"Q1034","Q1049","0.4679","Q1029","0.482","Q1021","0.5168","Q3983","0.5598","Q1016","0.6091"
"Q1016","Q1021","0.5887","Q1034","0.6091","Q1049","0.7261","Q1037","0.7841","Q1015","0.7987"
"Q1029","Q3983","0.4519","Q1018","0.4571","Q1034","0.482","Q1049","0.4986","Q1021","0.533"
"Q1049","Q1034","0.4679","Q1029","0.4986","Q1021","0.5801","Q3983","0.5977","Q1018","0.6281"
"Q1027","Q1429","0.5009","Q3984","0.6102","Q1086","0.7077","Q3980","0.7712","Q1033","0.7716"
"Q1429","Q1027","0.5009","Q3984","0.6451","Q1071","0.7612","Q1918","0.8004","Q1016","0.801"
"Q1379","Q1013","0.8815","Q1125","0.9039","Q3979","0.9159","Q2290","0.9231","Q1353","0.9278"
"Q3984","Q1027","0.6102","Q1429","0.6451","Q1071","0.7427","Q1037","0.8153","Q1064","0.8724"
"Q3985","Q1093","0.6469","Q1078","0.6655","Q3986","0.7516","Q1085","0.7797","Q1148","0.8002"
"Q1085","Q1078","0.5163","Q1137","0.5261","Q3986","0.5671","Q1086","0.6566","Q3985","0.7797"
"Q1137","Q1078","0.5251","Q1085","0.5261","Q3986","0.6056","Q1086","0.7459","Q1791","0.8634"
"Q3986","Q1078","0.3094","Q1085","0.5671","Q1137","0.6056","Q3985","0.7516","Q1086","0.8219"
"Q1078","Q3986","0.3094","Q1085","0.5163","Q1137","0.5251","Q1086","0.6105","Q3985","0.6655"
"Q1086","Q1078","0.6105","Q1085","0.6566","Q1027","0.7077","Q1137","0.7459","Q3985","0.8162"
"Q3987","Q1022","0.7416","Q1892","0.7634","Q1035","0.7655","Q1668","0.7834","Q3990","0.7841"
"Q1022","Q1668","0.6364","Q1035","0.6927","Q3987","0.7416","Q1892","0.7433","Q1622","0.7454"
"Q3988","Q1022","0.8527","Q1861","0.874","Q1622","0.8792","Q1668","0.8826","Q1353","0.8932"
"Q3989","Q1035","0.8139","Q1892","0.8305","Q1668","0.8517","Q1039","0.8568","Q1022","0.863"
"Q1035","Q1022","0.6927","Q1011","0.7473","Q1668","0.7584","Q1892","0.7621","Q3990","0.7624"
"Q1622","Q1022","0.7454","Q1668","0.7765","Q1892","0.7936","Q1011","0.8178","Q1861","0.8208"
"Q1892","Q1022","0.7433","Q1668","0.7525","Q1035","0.7621","Q3987","0.7634","Q3990","0.7672"
"Q1011","Q1035","0.7473","Q1022","0.7476","Q1892","0.7847","Q1668","0.7879","Q3990","0.8118"
"Q3990","Q1035","0.7624","Q1892","0.7672","Q3987","0.7841","Q1011","0.8118","Q1022","0.8126"
"Q1668","Q1022","0.6364","Q1861","0.6809","Q1892","0.7525","Q1035","0.7584","Q1622","0.7765"
"Q3992","Q1022","0.8045","Q1668","0.8194","Q1892","0.8371","Q1035","0.8445","Q3987","0.8602"
"Q3991","Q1035","0.8425","Q1892","0.8714","Q1011","0.876","Q3990","0.8775","Q3989","0.897"
"Q1861","Q1668","0.6809","Q1022","0.7473","Q1622","0.8208","Q3990","0.8344","Q1892","0.8539"
"Q1064","Q1046","0.7885","Q1148","0.7942","Q2105","0.8191","Q1037","0.8375","Q1013","0.8501"
