BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
00.51	Rosebelle, historiette du treizième siècle, par P.B. de Dammartin	BLANCHARD, Pierre
00.52	La mendiante de qualité, anecdote française	BOULLAULT, Mathurin-J.
00.54	Eugénio et Virginia, orné de figures dessinées par Lebarbier aîné et gravées par Baquoy et Patas	BRAYER DE SAINT-LÉON, Louise-Marguerite-Jeanne-Madeleine
00.55	Lioncel ou l’émigré, nouvelle historique par Louis de Bruno, né sur les rives du Gange	BRUNO, Louis de
00.56	Les aventures de Cléon ou les quatre temples, roman allégorique, en deux volumes, mêlé de prose et de vers, par Gabriel marquis de Castelnau	CASTELNAU, marquis Gabriel de
00.57	Les amours et avantures de sir Nigaudinet et de Codindine, histoire récente et véritable, par le C. F.-A. Ciled	CILED, F.-A.
00.58	Le chevalier noir, nouvelle du huitième siècle, par Mr H.C.	COIFFIER DE VERSEUX, le baron Henri-Louis
00.6	Angélique et Sainte-Eugène ou la fille échangée
00.60	Malvina, par madame ***, auteur de Claire d’Albe	COTTIN, Sophie Ristaud, dame
00.61	Lycas et Chloé ou la bergère coquette et corrigée, ouvrage qui peut servir à l’instruction des jeunes personnes	DAMIN, Louis
00.62	Adelphine de Rostanges ou la mère qui ne fut point épouse, histoire véritable, rédigée par le Cen. Desforges	DESFORGES, Pierre-Jean-Baptiste Choudard
00.63	Souvenirs de mylady Cartemane ou les mœurs du tems passé, par Antoine Diannyère, associé de l’Institut national, etc.	DIANNYERE, Antoine
00.64	Ma tante Geneviève ou je l’ai échappé belle, par Do.....y	DORVIGNY, Louis-Archambault
00.65	Le nouveau roman comique ou aventures d’un souffleur, d’un perruquier et d’un costumier de spectacle	DORVIGNY, Louis-Archambault
00.66	Les quatre cousins et l’inventaire d’un mauvais riche	DORVIGNY, Louis-Archambault
00.67	Contes moraux de ma grand’tante	DUCRAY-DUMINIL, François-Guillaume
00.68	Sélinde ou la modestie récompensée, anecdote par le citoyen Dusausoir, de la Société des belles-lettres	DUSAUSOIR, François-Jean
00.69	Œuvres posthumes de Florian, contenant Rosalba, nouvelle sicilienne, plusieurs fables inédites et le poème de Guillaume Tell, avec la vie de l’auteur, son portrait gravé par Clément, et quatre jolies figures dessinées par Monnet et gravées par Gaucher	FLORIAN, Jean-Pierre Claris de
00.7	Augusta ou tableau comparatif des mœurs françaises et des mœurs anglaises, avec des notes très-instructives, par un émigré
00.71bis	Quatre nouvelles, par J.C. Fulchiron	FULCHIRON, Jean-Claude
00.72	Elisca ou les malheurs de la vertu	GARDY, J.-A.
00.73	Floris ou la vengeance, par J. A. Gardy	GARDY, J.-A.
00.74	Le solitaire des Pyrénées ou mémoires pour servir à la vie d’Armand, marquis de Felcourt, par G.....L.......	GAUDIN DE LAGRANGE
00.75	Les mères rivales ou la calomnie, par madame de Genlis	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
00.79	Les amans vendéens	GOSSE, Étienne
00.8	Aurélia ou l’enfant de l’infortune, suivi de la déportation ou bannissement d’un négociant anglais dans la Sibérie
00.80	Gasparin ou le héros provençal, roman éroti-comique	GOSSE, Étienne
00.81	Synaïb et Zora ou l’héritière de Bablyone, par madame G.... V...., auteur d’Adolphe ou la famille heureuse	GRANDMAISON VAN ESBECQ, madame
00.87	Les voyages de Rolando et de ses compagnons de fortune autour du monde, ouvrage propre à donner aux jeunes gens une idée de la géographie et de l’histoire naturelle de chaque région, par L.F. Jauffret	JAUFFRET, Louis-François
00.89	Voyage de vingt-quatre heures, par Auguste-Hilarion Kératry, avec trois estampes en taille-douce	KÉRATRY, Auguste-Hilarion de
00.9	Aventures et anecdotes françoises tirées d’une chronique du XIV. siècle, par Mlle de M.....
00.91	Recueil d’anecdotes, de traits de bienfaisance et de contes	KÜHNE, F.-Th.
00.92	Recueil de contes intéressants et moraux publié à l’usage de la jeunesse	KÜHNE, F.-Th.
00.93	Le château d’Alvarino ou les effets de la vengeance, par L.C. Lagrave, auteur de Sophie de Beauregard, Zabeth, Minuit, etc.	LA GRAVE, comtesse de
00.94	Melcourt et Célia ou les vicissitudes de l’amour et de la fortune	LAISNÉ, Nicolas-Gabriel
00.95	Les arts et l’amitié ou petit voyage sentimental du jeune de Lusignan, publié par Joseph de La Serrie de la Vendée	LA SERRIE, François-Joseph de
00.96	Eulalie de Rochester, vicomtesse de ***, nouvelle vendéenne, publiée par madame de La Serrie	LA SERRIE, François-Joseph de
00.98	Le château de Duncam ou l’homme invisible, par Michel-Théodore L. C.....	LECLERC, Michel-Théodore
51.1	Elixir du sentiment par madame C.D.G.
51.10	Amours d’Alzidor et de Charisée, ouvrage traduit du grec	BARET, Paul
51.11	Le tombeau philosophique ou histoire du marquis de ** à madame de par le chevalier de la B***	BASTIDE, Jean-François de
51.12	Rézéda, ouvrage orné d’une post-face, par M. B***	BELIARD, François
51.13	Mémoires historiques de la comtesse de Marienberg Amsterdam.	BODIN DE BOISMORTIER, Suzanne
51.14	Les filles femmes et les femmes filles ou le monde changé, conte qui n’en pas un, par M. Simien. Les quinze minutes ou le temps bien employé, conte d’un quart-d’heure.	BOISSY, Louis de
51.15	La fortune, histoire critique	BOUREAU-DESLANDES, André-François
51.20	Aventures de Londres	DANET, abbé Etienne-Jean
51.21	Les plaisirs secrets d’Angélique ou ses voyages au bout du monde	DELRUE, abbé
51.22	Mémoires pour servir à l’histoire des mœurs du XVIII. siècle	DUCLOS, Charles Pinot
51.23	La mère marâtre ou l’injustice vengée par elle-même, histoire tragique	DUFOUR, P.
51.24	La toilette du philosophe ou Ziri et Ziria	ESTÈVE, Pierre
51.25	Le triomphe de l’amitié, ouvrage traduit du grec par mademoiselle de **	FALQUES, Marianne-Agnès
51.27	Mémoires de Cécile, écrits par elle-même, revus par M. de La Place.	GUICHARD, Eléonore
51.3	Les heureux événements ou les généreux aventuriers, histoire nouvelle et galante
51.31	Lettres siamoises ou les Siamois en Europe	LANDON, Jean-Joseph
51.32	Mémoires de Versorand	LA SOLLE, Henri-François de
51.33	Blancherose, conte	LUBERT, mademoiselle de
51.34	Les hauts faits d’Esplandian, suite d’Amadis des Gaules	LUBERT, mademoiselle de
51.35	Chimoctu ou le prince singulier, histoire monomotapiene, traduite du monomotapien, par M. M...., dédiée à Mlle Quatilina	MAILHOL, Gabriel
51.36	Le petit-maitre philosophe ou voyages et aventures de Genu Soalhat, chevalier de Mainvilliers, dans les principales cours de l’Europe	MAINVILLIERS, Genu Soalhat, chevalier de
51.37	Les avis d’un père à son fils	MARCHAND, Jean-Henri
51.38	Voyage d’Alcimédon ou naufrage qui conduit au port, histoire plus vraie que vraisemblable, mais qui peut encourager la recherche des terres inconnues.	MARTIGNY, comte de
51.39	Zoroastre, histoire traduite du chaldéen	MÉHÉGAN, Guillaume-Alexandre, chevalier de
51.4	Histoire admirable du Juif errant, lequel depuis l’an 33 jusqu’à l’heure présente ne fait que marcher, contenant sa tribu, sa punition, ses aventures admirables ...
51.41	Histoire des passions ou aventures du chevalier Shroop, ouvrage traduit de l’anglois	TOUSSAINT, François-Vincent
51.42	Histoire de la félicité	VOISENON, Claude-Henri de Fusée, abbé de
51.5	Histoire de Camouflet, souverain potentat de l’empire d’Equivopolis
51.7	Vénus à confesse ou lettres d’une comédienne retirée du spectacle à une de ses amies
51.8	Zeczeczeb, anecdotes indostanes
51.9	Le bal de Venise, nouvelle historique	ARNAUD, François-Thomas-Marie de Baculard d’
52.11	Le faux oracle et l’Illusion d’un instant, anecdotes.	BASTIDE, Jean-François de
52.12	Lettres d’amour du chevalier de ***	BASTIDE, Jean-François de
52.13	Les ressources de l’amour	BASTIDE, Jean-François de
52.14	Histoire d’Ema	BISSY, Claude de Thyard, comte de
52.15	Le Mexique conquis	BOESNIER
52.16	Le mot et la chose	CAMPAN, Dominique
52.17	Cela est singulier, histoire égyptienne traduite par un rabin génois	CHEVRIER, François-Antoine
52.18	Ma-gakou, histoire japonaise, traduite par l’auteur D.R.D.S.	CHEVRIER, François-Antoine
52.19	Minakalis, fragment d’un conte siamois	CHEVRIER, François-Antoine
52.2	Les dégoûts du plaisir frivolité
52.23	Mémoires de monsieur de Berval	FYOT DE LA MARCHE, Jean-Philippe
52.26	La laideur aimable et les dangers de la beauté, histoire véritable	LA PLACE, Pierre-Antoine de
52.27	Anecdotes de la cour de Bonhommie, par l’auteur des Mémoires de Versorand	LA SOLLE, Henri-François de
52.28	Cornichon et Toupette, histoire fée	LUBERT, mademoiselle de
52.29	Mourat et Turquia, histoire africaine, par Mlle de L***	LUBERT, mademoiselle de
52.3	La double marotte ou l’antipathie couronnée par l’hymen, nouvelle des plus nouvelles
52.31	Aventures d’Ulysse dans l’isle d’Aeaea	MAMIN
52.32	L’isle de France ou la nouvelle colonie de Vénus, précédée d’une épître à Mr ***, servant de préface	MARCHADIER, abbé
52.33	Virginie ou la vierge chrétienne, histoire sicilienne pour servir de modèle aux filles qui aspirent à la perfection	MARIN, le père Michel-Ange
52.35	Opuscule d’un célèbre auteur égyptien, contenant l’histoire d’Orphée par laquelle on pourroit soupçonner qu’il est peu de femmes fidèles	MOUHY, Charles de Fieux, chevalier de
52.36	Le plaisir et la volupté, conte allégorique	PUISIEUX, Madeleine d’Arsant, madame de
52.4	Gui Gui ou le saucisson, histoire japonaise
52.40	La folle sensée ou histoire de Mlle F***, dédiée à madame la marquise de V***, par le chevalier D.L***	TSCHUDY, Thédore-Henri, baron de
52.41	Le beau-frère supposé, par Madame D.V...	VILLENEUVE, Gabrielle-Suzanne Barbot de
52.42	L’infortuné Français ou les mémoires et aventures du marquis de Courtanges, traduits de l’anglois	VILLIERS, P. de
52.43	Le Micromégas de Mr. de Voltaire	VOLTAIRE, François-Marie Arouet de
52.7	Mémoires de madame de ***
52.9	Saroutaki et Alibek, histoire traduite du persan
53.1	L’école des filles ou mémoires de Constance
53.10	Mémoires d’une honnête femme écrits par elle-même et publiés par M. de Chevrier	CHEVRIER, François-Antoine
53.11	Le quart d’heure d’une jolie femme ou les amusements de la toilette, ouvrage presque moral dédié à messieurs les habitans des coins du roi et de la reine et précédé d’une préface sur la comédie par mademoiselle de *****	CHEVRIER, François-Antoine
53.12	L’oracle de Cithère	CHICANEAU DE NEUVILLE, Didier-Pierre
53.14	Abbassai, histoire orientale	FALQUES, Marianne-Agnès
53.15	Contes du sérail traduits du turc	FALQUES, Marianne-Agnès
53.17	Le voyage de Mantes	GIMAT DE BONNEVAL, Jean-Baptiste
53.18	Le petit prophète de Boehmischbroda	GRIMM, Friedrich Melchior, baron
53.19	La Christiade ou le Paradis reconquis, pour servir de suite au Paradis perdu de Milton	LABAUME-DESDOSSAT, abbé Jacques-François de
53.22	Lettres de Julie à Ovide	LEZAY-MARNÉZIA, Charlotte-Antoinette de Bressay, marquise de
53.23	La nouvelle du jour ou les feuilles de la Chine	MAILHOL, Gabriel
53.24	Le soldat parvenu ou mémoires et avantures de Mr. de Verval, dit Bellerose, par Mr. de M***	MAUVILLON, Eléazar de
53.26	Naufrage des isles flottantes ou la Basiliade du célèbre Pilpaï, poème héroïque traduit de l’indien par Mr. M******	MORELLY
53.27	Les délices du sentiment, dédiées à S.A.S. madame la duchesse d’Orléans, par M. le chevalier de Mouhy	MOUHY, Charles de Fieux, chevalier de
53.28	Lettres du commandeur de *** à mademoiselle de *** avec les réponses, publiées par M. le chevalier de Mouhy	MOUHY, Charles de Fieux, chevalier de
53.30	Mémoires d’un honnête homme, revûs, corrigés, augmentés d’un second volume et imprimés sur un nouveau manuscrit de l’auteur, publié par Mr. de M****	PRÉVOST, abbé Antoine-François
53.31	L’éducation du marquis de *** ou mémoires de la comtesse de Zurlac, par Mme de P**	PUISIEUX, Madeleine d’Arsant, madame de
53.33	Amilec ou la graine d’hommes	TIPHAIGNE DE LA ROCHE, Charles-François
53.34	La jardinière de Vincennes, par madame de V***	VILLENEUVE, Gabrielle-Suzanne Barbot de
53.4	Les têtes folles	BASTIDE, Jean-François de
53.5	La trentaine de Cithère	BASTIDE, Jean-François de
53.7	Roman oriental	BLANES, Henri-Barthélemy
53.8	Le monde joué ou mémoires pour servir à l’histoire du genre humain	BOUDIER DE VILLEMERT, Pierre-Joseph
53.9	Mémoires de madame la baronne de Saint Clair	CHEVRIER, François-Antoine
54.1	L’amour-propre sacrifié au plaisir de la vengeance
54.10	Le grelot ou les & c, & c, &c, ouvrage dédié à moi	BARET, Paul
54.13	Ah! quel conte! conte politique et astronomique	CRÉBILLON, Claude-Prosper Jolyot de
54.14	Histoire de Ruspia ou la belle Circassienne	DU HAUTCHAMP
54.16	Carmentière ou les engagemens rompus par l’amour	GIRONNET
54.19	Histoire secrette du prophète des Turcs, traduite de l’arabe	LANCELIN
54.2	Histoire de mademoiselle Brion, dite comtesse de Launay
54.20	Thoms (sic) Kenbrook. histoire angloise traduite par M.D.L.P.	LA PLACE, Pierre-Antoine de
54.22	Abdeker ou l’art de conserver la beauté	LE CAMUS, Antoine
54.23	Civan, roi de Bungo, histoire japonnoise, par madame Le Prince de Beaumont, auteur du Magasin françois	LEPRINCE DE BEAUMONT, madame Marie
54.24	Mémoires de Justine ou les confessions d’une fille du monde qui s’est retirée en province	MAGNY, Jean-Baptiste-Michel
54.27	L’ami de la fortune ou mémoires du marquis de S. A***	MAUBERT DE GOUVEST, Jean-Henri
54.27bis	L’école du gentilhomme ou entretiens de feu monsieur le chevalier de B*** avec le comte son neveu sur l’héroïsme et le héros	MAUBERT DE GOUVEST, Jean-Henri
54.28	L’illustre païsan ou mémoires et avantures de Daniel Moginié, natif du village de Chezales au canton de Berne, bailliage de Moudon, mort à Agra le 22 de mai 1748, âgé de 39 ans; Om-rah de la I re classe. Commandant de la seconde garde mogole, grand portier du palais de l’empereur, et Gouverneur de Paln-geâb, où se trouvent plusieurs particularités, anecdotes des dernières révolutions de la Perse et de I’Indostan et du règne de Thamas-Kouli-Kan, écrit ct adressé par lui même à son frère François, son légataire.	MAUBERT DE GOUVEST, Jean-Henri
54.29	Les femmes ou lettres du chevalier de K***** au marquis de ***	MERAY, chevalier de
54.3	L’inconstant puni par l’inconstance
54.30	Mémoires du marquis de Bénavidès, dédiés à S.A.S. madame la duchesse d’Orléans, par M. le chevalier de Mouhy. de l’Académie de belles-lettres de Dijon	MOUHY, Charles de Fieux, chevalier de
54.31	Mirza et Fatmé, conte indien traduit de l’arabe	SAURIN, Bernard-Joseph
54.33	Amilec ou la graine d’hommes qui sert à peupler les planètes, par L’A. D. P***. Troisième édition, augmentée très considérablement	TIPHAIGNE DE LA ROCHE, Charles-François
54.34	Le juge prévenu, par madame de V***	VILLENEUVE, Gabrielle-Suzanne Barbot de
54.4	Mirélis et Zinzênie, conte, auquel on a ajouté les Délices de la Sauvagère
54.5	La vengeance naturelle
54.8	Le palais du silence, conte philosophique	ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’
54.9	Le roman du jour, pour servir à l’histoire du siècle	ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’
55.1	Les délices du jour
55.10	La vie voluptueuse entre les Capucins et les nonnes, dévoilée par la confession d’un frère de cet ordre
55.11	Le vis-à-vis et la désobligeante
55.12	Voyages curieux d’un Philadelphe dans des pays nouvellement découverts
55.14	L’être pensant	BASTIDE, Jean-François de
55.15	Les amans philosophes ou le triomphe de la raison, par mademoiselle B***	BROHON, Jacqueline-Aimée
55.16	La nuit et le moment ou les matines de Cythère, dialogue	CRÉBILLON, Claude-Prosper Jolyot de
55.17	Histoire et aventures de milord Pet, conte allégorique, par madame F***	DUCLOS, Charles Pinot
55.18	Le miroir des princesses orientales par madame Fagnan	FAGNAN, Marie-Antoinette
55.19	Les préjugés trop bravés et trop suivis ou les mémoires de Mlle d’Oran, par mademoiselle de ***	FALQUES, Marianne-Agnès
55.20	Mémoires du chevalier d’Erban	GANIFEY
55.22	Mémoires du comte de Baneston, écrits par le chevalier de Force vil le	GUILLOT DE LA CHASSAGNE, abbé Ignace-Vincent
55.23	La baguette mystérieuse ou Abizai	GUYS, Jean-Baptiste
55.24	Confession générale du chevalier de Wilfort	HUBERT (d’Orléans)
55.26	Les erreurs de l’amour et de la vanité, mémoires de b marquise de Bercaville	LIEBAUT
55.27	Voyage au bbirinthe du Jardin du Roi, à Monsieur ***	LINGUET, Simon-Nicolas-Henri
55.28	Léonillc, nouvelle par mademoiselle ***	LUBERT, mademoiselle de
55.29	Le cabriolet	MAILHOL, Gabriel
55.3.	Le faux ravisseur ou caravanes galantes du chevalier d’Abbeville, par Mr. L. Le M....
55.30	Zélindor et Zaïre, traduction indienne tirée du célèbre auteur indien, Yn-che-cham, par M***	MARCILLY, Laurent
55.31	La brochure à b mode, ornée et enrichie de quelques pensées	MARESCOT, Michel
55.32	Origine des cabriolets, conte allégorique et mechanique, orné de notes	MARESCOT, Michel
55.34	Le triomphe de l’amour ou le serpent caché sous les fleurs	MICHEL (de Saint-Sauveur-le-Vicomte)
55.35	L’amante anonyme ou l’histoire secrette de la volupté, avec des contes nouveaux de fées, publiée par M. le chevalier de Mouhy, de l’Académie des belles-lettres de Djjon	MOUHY, Charles de Fieux, chevalier de
55.36	Le financier, par M. le chevalier de Mouhy de l’Académie des belles-lettres de Dijon	MOUHY, Charles de Fieux, chevalier de
55.37	Les égarements de Julie	PERRIN, Jacques-Antoine-René
55.38	Zamor et Almanzine ou l’inutilité de l’esprit et du bon sens, par madame de Puisieux	PUISIEUX, Madeleine d’Arsant, madame de
55.39	Histoire de Louis Mandrin, depuis sa naissance jusqu’à sa mort, avec un détail de ses cruautés, de ses brigandages, & de son supplice	REGLEY, abbé
55.4	La femme malconseillée et le mari prudent ou la guingette de Surenne
55.41	Les faux pas, ou mémoires vrais ou vraisemblables de la baronne de ***, traduits de l’original bas-breton	ROUSSEAU, Pierre (de Toulouse)
55.5	L’infortuné Provençal ou mémoires du chevalier de Bélicourt, écrits par lui-même
55.6	Lettres amoureures (sic) de la dame Lescombat et du sieur Mongeot ou l’histoire de leurs criminels (sic) amours
55.8	Le mari mécontent de sa femme, histoire nouvelle
55.9	Mémoires de M. de M***
56.1	L’étoile heureuse, histoire secrète
56.10	L’heureuse victime ou le triomphe du plaisir	DESBIEFS, Louis
56.11	Nine, par M. D. B.	DESBIEFS, Louis
56.12	Sophie, par M. D. B.	DESBIEFS, Louis
56.14	Durey de Sauvoy, marquis La princesse de Gonsague, roman historique	DU TERRAIL, Joseph
56.16	Les aventures portugaises	JORE, Claude-François
56.19	Magasin des enfans ou dialogues entre une sage gouvernante et plusieurs de ses élèves de la première distinction, dans lesquels on fait penser, parler, agir les jeunes gens suivant le génie, le tempérament & les inclinations d’un chacun ... par Made Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
56.2	Le frère questeur, histoire galante écrite par lui-même
56.21	Les spectacles nocturnes, ouvrage épisodique	MAGNY, Jean-Baptiste-Michel
56.23	Histoire de la marquise de Terville	MÉHÉGAN, Guillaume-Alexandre, chevalier de
