P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
00.114			PAGÈS, François-Xavier												Vie, amours et aventures de plusieurs illustres solitaires des Alpes ou les malheurs des grandes passions, par F. Pagès		Paris			au Dépôt général des bonnes nouveautés, Laurcns j.c.			1800	an VIII-1800				in-12. 4t. in-12			viii + 172, 144, 146, 172p.		DLC Oron+ JG III 180; JP 15 therm. VIII; JT 5. 15 prair. VIII Monglond Q							3e personne			Suisse			Hector Duplessis, Bérenger, Hortense d’Alainville			plusieurs récits de grandes passions, accompagnés de commentaires et de réflexions morales			ton sentimental				
00.115			PERNAY, F.-Daniel												Mémoires anecdotiques pour servir à l’histoire de la Révolution française, publiés par le traducteur d’Obéron		Paris			chez J.-J. Fuchs			1800	année 1800				in-12			iii + 268p.		BN Monglond		Le titre de départ porte: Histoire d’Adrien de ***.					1re personne			Paris, province			Sophie, Francœur, Deschamps			aventures sous la Révolution (‘Je suis une des innombrables victimes de cette révolution célèbre qui signale la fin du dix-huitième siècle’)							
00.116			PERTUSIER, Charles												Les amans de Corinthe, histoire épisodique imitée du grec par Ch. Pertusier		Paris			Morin			1800	an VIII				2t. in-18			[non déclaré]		JG III 181 Delcro Monglond Q																							
00.117			PERTUSIER, Charles												Mes premières étourderies, ou quelques chapitres de ma vie en attendant mieux		Paris			Marchand			1800	an VIII				3t. in-12			153, 152, 130p.		Besançon+ Uppsala+ (t.lll mq.) JG 111 79; JP 21 germ. VIII; JT 30 pluv. VIII Gay Monglond Q							Lettres			Paris			Bélony, d’Arinville, Derval, mademoiselle de Séligny, Caroline			intrigues galantes et sentimentales			ton léger mêlé de sensibilité				
00.118			PICQUENARD, J.-B.												Zoflora ou la bonne négresse, anecdote coloniale, par J.B. Picquenard		Paris			de l’imprimerie de Didot jeune			1800	l’an VII				2t. in-18			x + 252, 268p.		BN+ JG III 111; JP 29 vent. VIII; JT 25 flor. VIII Monglond Q		Monglond donne la date: ‘an VII ( 1799)’, mais cite l’exemplaire de la BN que nous décrivons ci-dessus.					3e personne			Paris, Saint-Domingue			Justin, Simon, Zoflora, Amicie			aventures romanesques			couleur locale				
00.119			PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit												Adèle et d’Abligny, par Pigault-Lebrun		Paris			Barba			1800	8. 1800				in-12			172p.		Uppsala+ JG III 272: JP 1er fruct. VIII; JT 30 themi. VIII Delcro Monglond Q		Pour des détails sur la série de récits auquel cet ouvrage appartient, v. 00.123.					3e personne			Amiens			M. d’Alleville, Adèle, Thérèse, M. Monfort, d’Abligny			amours contrariées							
00.12															D’Orbieux et Cécile ou l’école de la bienfaisance, par P....		Paris			Pigoreau			1800	an VIII				in-18					JG III 79; JT 30 pluv. VIII																							
00.120			PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit												Métusko ou les Polonais, par Pigault-Lebrun, troisième nouvelle		Paris			Barba			1800	9.1800				in-12			172p.		BN+ JT 30 prair. VIII Monglond Q		Un faux titre porte: Les cent vingt jours ou les quatre nouvelles, par Pigault-Lebrun. tome troisième. Pour des détails sur la série de récits auquel cet ouvrage appartient, v. 00.123					3e personne			Pologne (moyen âge)			Métusko, le vieux Polinska			aventures romanesques, intrigues politiques, histoire d’amour			éléments historiques				
00.121			PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit												Mon oncle Thomas, par Pigault-Lebrun		Paris			Barba			1800	8				4t. in-12			240, 215, 216, 238p.		BM+ BN+ JG 111 111, 144 Gay Monglond		0 La date de 1795 proposée parle catalogue du BM semble avoir ses origines dans un ‘8’ mal imprimé et pris pour un *3’, c’est-à-dire: ‘an III’. Les bibliographes donnent parfois 1799 à la place de l’an VIU ou 1800.					3e personne			Paris. Londres (avant la Révolution)			Rosalie-la-Brune, M. Belle-Pointe, M. Riboulard, mon oncle Thomas (peuple)			aventures comiques du fils d’une prostituée			ton satirique, tendances réalistes				
00.122			PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit												Monsieur de Klinglin ou la prescience, par Pigault-Lebrun, seconde nouvelle		Paris			Barba			1800	1800				in-12			195p.		BN+ JG III 181; JT 5 prair. VIII Monglond		Un faux titre porte: Les cent vingt jours ou tes quatre nouvelles, par Pigault-Lebrun, tome second. Pour des détails sur la série de récits auquel cet ouvrage appartient, v. 00.123.					3e personne			Bretagne, Paris			M. de Klinglin (gentilhomme bas-breton), monsieur de Bagueville, Rose			aventures comiques d’un homme qui a un pacte avec le diable			ton léger				
00.123			PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit												Théodore ou les Péruviens, par Pigault-Lebrun, première nouvelle		Paris			Barba			1800	9.1800				in-12			202p.		BN+ JG III 181; JT 5 flor. VIII; Veillées III 6 an VIII 234-46 Monglond		C’est le premier récit d’une série qui devait paraître tous les mois sous le titre: Les trente jours, ouvrage périodique. Selon JT 5 germ. VIII, les numéros successifs ’formeront un corps d’ouvrage de douze volumes in-12, in-cicero, qui paroîtronl de mois en mois. Chaque volume, de 170 pages environ, contiendra une nouvelle, un conte, ou un petit roman détaché des Numéros suivans, et pourra par conséquent s’acheter isolément’. Une annonce semblable dans Veillées III 2 an Vlll 189 fait savoir que ‘le 1er n° a paru le lcr floréal’. Pigault-Lebrun semble avoir abandonné cette entreprise après la 00.133 quatrième nouvelle, et Théodore, Monsieur de Klinglin (00.122), Métusko (00.120) et Adèle et d’Abligny (00.119) se trouvent désormais réunis sous le titre: Les cent vingt jours.					3e personne			Saint-Malo. Antilles, Pérou			Théodore, Monsieur de Forville, Villuma, Anaïs, Elisa			voyages, aventures romanesques			cadre exotique				
00.124	t		PILKINGTON, Mary						SEWRIN, Charles-Augustin de Bassompierre, dit						Mortimer Lascells (sic) traduit de l’anglais par C.A.B. Sewrin, auteur de Brick-Bolding		Paris			André			1800	an huitième				2t. in-18			81, 95p.		Oron+ Pigoreau Q Streeter		Le titre de départ est ainsi rédigé: Mortimer Lascells ou la répugnance vaincue.			Trad. de The History of Mortimer Lascelles, 1797.		3e personne			Angleterre			Caroline, Matilda, Maria, l’amiral Mortimer			histoires de famille			ton moralisateur				
00.125			PISSOT, Noël-Laurent												Marcelin ou les épreuves du monde, par M.L.P.		Paris			Pigoreau			1800	an VIII				in-18					JG III 180; JT 30 flor. VIII B Monglond Q		BN a l’ouvrage suivant, qui devait faire pendant à Marcelin. mais dont nous n’avons pas trouvé le titre dans les périodiques pour l’an VIII que nous avons dépouillés: Célestine ou les épreuves de l’amour, histoire véritable et intéressante, par M.N.L. Pissot. Paris, Aubry, s.d., in-l 8, 92p.																					
00.126	t		PRATT, Samuel Jackson						ALLART, madame Mary, née Gay						Les secrets de famille, traduit de l’anglais de M. Pratt sur la troisième édition par Mary-Gay Allart, traductrice d’Eléonore de Rosalba, orné de figures		Paris			au Magasin des romans nouveaux, chez Lepetit			1800	an VIII				5t. in-12			702 (pour 207), 193, 183, 167, 172p.		VIII Monglond Q Rochedieu					Trad. de Family Secrets, Literary and Domestic, 1797.		3e personne			Angleterre			sir Armine et lady Fitzorton, Henry, John, James, Olivia Clare, Partington, Jenny			intrigues sentimentales et de famille			ton sensible				
00.127			QUESNÉ, Jacques Salbigoton												Les folies d’un conscrit, par J.-S. Quesné		Paris			Tiger, marchands de nouveautés			1800	an VIII				2t. in-18			xvi + 142, xiii + 154p.		BM+ BN+ JG III 311; JT 10 fruct. VIII Gay Monglond		Pigoreau Le t. Il a pour titre de départ: Pensées d’un conscrit, et cette partie de l’ouvrage ne comporte pas d’éléments romanesques.					1re personne			Paris, Lille, Anvers, Rotterdam...			Pierre-Soliman Delorme			voyages, aventures comiques et galantes d’un conscrit			ton léger				
00.128			REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe												Le cimetière de la Madeleine, par J.J. Regnault-Warin, auteur de Roméo et Juliette, la Caverne de Strozzi, etc.		Paris			Lepetit jeune			1800	1800				4t. in-18			?,?, viii + 171. 152p.		BN+ (t. III-IV seulement) JG III 180, 238; JT 30 therm. VIII		Cet ouvrage ne doit pas etre confondu avec: Le cimetière de la Madeleine, par l’auteur de Maria et d’Antoine et Jeannette [c’est-à-dire: Villemain d’Abancourti, Paris, Roux, an IX-1801 , 2t. in-18, xvi + 138, 16lp. (BN, Oront).					1re personne, avec récits intercalés 1re personne			France sous la Révolution			Edgeworth de Fermant, Mlle de Gernance, Maurice, Louis XVI, Marie-Antoinette...			récit romancé des derniers jours du Roi et de la Reine							
00.129			REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe												La jeunesse de Figaro, par J.J. Regnault-Warin, auteur du Cimetière de la Madeleine, de Roméo et Juliette, etc.		Paris			Lepetit, Leprieur			1800	8. (1800)				2t. in-12			12 + 13-240, 264p.		BN+ (t. Il) Bruxelles Oron+ Monglond							3e personne, et ensuite 1re personne (mémoires)			Espagne			Olivia, Bombardas, Emmanuel Figaro			voyages, aventures, amours, espiègleries (la vie de Figaro jusqu’au début du Barbier de Séville)			ton léger				
00.13															Les effets du repentir ou mémoires du comte D**		Paris			Gœury			1800	an VIII				in-12			372p.		JG III		272 JG: ‘écrit dans le genre de l’abbé Prévost’.																					
00.130			REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe												Les prisonniers du Temple, par J.-J. Regnault-Warin, auteur du Cimetière de la Madeleine		Paris			au dépôt de librairie de Locard fils			1800	an IX (1800)				3t. in-12			188, 173, 142p.		BN+ Monglond Q							3e personne, avec récit 1re personne			France sous la Révolution			Ferdinand (duc d’Angoulême), lord Owembury, Désorval, Marie-Thérèse			aventures romanesques dans un cadre d’actualité (intrigues pour libérer les enfants de Louis XVI)			éléments historiques, sensibilité, mélancolie				
00.131			REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe												Roméo et Juliette, roman historique, par J.J. Régnault de Warin, auteur de la Caverne de Strozzi		Paris			imprimerie de Munier, Lepetit jeune			1800	[non déclaré]				in-12			166, 194p.		C+Y+ JG 111, 50; JT 25 pluv. VIII Monglond Q							3e personne			environs de Pise, Véronne			Timoléon de Montaigu, Sévère, Dolcé, Raymond, Roméo, les Capulet, Juliette, Stéphano, Pâris			les amours des célèbres amants mises en roman			sensibilité, éléments du roman noir				
00.132			ROSNY, Antoine-Joseph-Nicolas de												Claude et Claudine ou l’amour au village, roman pastoral, imité d’Estelle de Florian		Paris			Pigoreau			1800	1800				in-18			[non déclaré]		B Gay Monglond Pigoreau Q																							
00.133			ROSNY, Antoine-Joseph-Nicolas de												Le délire du sentiment ou rêveries d’un homme sensible, satire								1800	An VIII				in-12					Monglond Q																							
00.134			ROSNY, Antoine-Joseph-Nicolas de												Le rêve d’un philosophe ou voici toute mon ambition! par Joseph Rosny, suivi de la réponse par l’auteur de Betsy, deuxième édition		Paris			imprimerie de Glisau			1800	an VIII				in-18			144p.		BN+		La première édition de ce titre n’a que 14 pages et ne comporte pas la partie narrative qui a été rajoutée ultérieurement: A Rodez, de l’imprimerie de Carrere, an VIII de la République, in-8 (BM+) L’auteur exprime son rêve d’une vie paisible à la campagne; puis la réponse offre en contre-partie le récit des malheurs de Sainville.																					
00.135			SADE, Donatien-Alphonse-François, marquis de												Les crimes de l’amour, nouvelles héroïques et tragiques, précédés d’une idée sur les romans et ornés de gravures, par D.A. F. Sade, auteur d’Aline et Valcour		Paris			Massé			1800	an VIII				4t. in-12			xlvi + 228, 274, 256, 245p.		BM+ BN+ JP 3 fruct. VIII; JT 20 therm. VIII; Veillées III 8 an IX 186 Apollinaire,Sade Gay Lely Monglond Valençay																					I, i-xlvii. Idée sur les romans; 1-101, Juliette et Rauni ou la conspiration d’Amboise, nouvelle historique; 103-228, La double épreuve. II, 1-106, Miss Henriette Stralson ou les effets du désespoir, nouvelle anglaise; 107-172, Faxelange ou les torts de l’ambition; 173-274, Florville et Courval ou le fatalisme. III, 1-35, Rodrigue ou la tour enchantée, conte allégorique; 37-130, Laurence et Antonio, nouvelle italienne; 131-256, Emestine, nouvelle suédoise. IV, 1-51, Dorgeville ou le criminel par vertu; 53-104, La comtesse de Sancerre ou ta rivale de sa fille, anecdote de la cour de Bourgogne; 105-245, Eugénie de Franval.		
00.136			SALVERTE, Aglaé												Deslacs d’Arcambal, dame Garet de Fleurieu, puis dame Baconnière de Stella, histoire anglaise, par Aglaé D... F.		Paris			Maradan			1800	8				4t. in-12			207, 204, 183, 166p.		Stockholm+ JG III 239; JP 6, 22 fruct. VIII; JT 15 therm. VIII; Mag. enc. VI 1800 iv 7; Veillées III 6 an VIII 199-226 B Monglond Q Streeter							3e personne			Angleterre			le comte et la comtesse de Wilfort, le lord Overbury, miss Stella Gatenby			les malheurs romanesques d’une jeune orpheline							
00.137			SANCHAMAU, J.-B.												L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale Militaire, et des Ecoles centrales		A Smyrne						1800	l’an de l’hégire 1215-1800				in-12			xii + 244p.		BM BN+ Q							Lettres			France			Mohamed Saady, Cliamausan, Phanor, Phrosine			anecdotes			critique des mœurs et des institutions (à la manière des Lettres persanes)				
00.138			SEWRIN, Charles-Augustin de Bassompierre, dit												Brick Bolding ou qu’est-ce que la vie? roman anglo-franc-italien		Paris			Cailleau			1800	an VIII				3t. in-12			189, 191, 197p.		VIII Monglond							1re personne (mémoires)			Londres, Cap de Bonne Espérance, Alger, Marseille, Naples,...			Brick Bolding, milady Law, Adèle, le capitaine Balthazar, M. Pecuni			aventures comiques, intrigues galantes, voyages d’un jeune homme			ton satirique				
00.139	t		SHERIDAN, William										?		Lismor ou le château de Clostern, par W. Shéridan, traduit de l’anglais sur la 4e édition, par J.B.M. D....Y		Paris			Chaigneau, Maradan			1800	1800				2t. in-12			[non déclaré]		JG III 273; JT 20 therm. VIII B Monglond Q Streeter		Selon JC., cet ouvrage serait de ‘A. Shéridan’. 0 affirme que c’est la traduction française d’une version anglaise du Lord impromptu par Cazotte (v. 67.22).																					
00.14															Éléonore et d’Arsans ou les époux réunis		Paris			veuve Garijou et Pigoreau			1800	an VIII				in-18					JG III 79; JT 15 vent. VIII																							
00.140	t		SICKELMORE, Richard						BERTIN, Théodore-Pierre						Edgar ou le pouvoir du remords, par R. Sickelmore, traduit de l’anglais par T.P. Bertin		Paris			Delalain fils			1800	an VIII				2t. in-12					VIII Monglond Pigoreau Q Rochedieu Streeter		Les bibliographes donnent la date de 1799. Les annonces des périodiques laissent supposer que l’ouvrage, bien que paru pendant le dernier quart de cette année, ait porté le millésime ‘an VIII’.			Trad. de Edgar or the Phantom of the Castle, 1798.		3e personne			Angleterre			Edgar père, Edgar fils, sir Armine, Conrad (ermite), Bernard, Héléna			aventures romanesques (duels, bandits), intrigues sentimentales			sensibilité				
00.141	t		SMITH, Charlotte Turner, Mrs						SOULÉS, François						Montalbert et Rosalie, traduit de l’anglais de Charlotte Smith		Paris			Testu			1800	an VIII				3t. in-12			271, 263, 240 (pour 340)p.		Oron+ JP 16 niv. VIII; JT 5 niv. VIII Monglond Q Pigoreau Rochedieu Streeter					Trad. de Montalbert, 1795.		3e personne			Angleterre			Montalbert, Alozzi, mademoiselle Vyvian, Guillaume Lessington			intrigues et amours malheureuses			sensibilité				
00.142	m		SOLLIER, Pierre												Manuel des fous ou le grand festin de l’Elisée, par Pierre Sollier		Paris			de l’imprimerie de Cailleau			1800	an VIII-1800				in-12			xviii + 188p.		BN+ JP 15 flor. VIII; JT 30 vent. VIII; Mag. enc. VI 1801 vi 430																					En marge; série de dialogues comiques el satiriques au cours d’un banquet (Pluton, Saint-Laurent, Proserpine, Cagliostro, Paracelse...)		
00.143	t		SPIESS, Christian Heinrich										?		Les chevaliers du lion, histoire du douzième siècle, d’après l’allemand, par M.R. de St Ch...		Berlin			Henry Frôlich			1800	1800				3t. pet. in-8			343, 376, 247p.		BN+		Une autre version de ce roman a paru en 1805: Les chevaliers du lion, histoire puisée dans les annales du XIII? siècle..., imprimerie de Valade, Paris, Marchand, an XIII, 6t. in-12 (BNt. Q).			Trad. de Die Löwenritter, eine Geschichte des 13. Jahrhunderts, 1794-96.		3e personne			Allemagne, Terre Sainte			le comte Frédéric de Frobourg, Adélaïde, Clotilde, Claire, le comte de Farnbourg, Aldégonde, Cunegonde			intrigues sentimentales et politiques, batailles			couleur locale, éléments merveilleux				
00.144			SUREMAIN, Louise-Marie Melchior												Ardent ou les aventures plaisantes d’un incroyable, par Mlle S***		Paris			Lefort, Moutardier			1800	[non déclaré]				in-12			210p.		BM+ JG III 310; JT 20 vend. VIII B Gay Monglond Q							1re personne			province (Bordeaux), Angleterre, pays exotiques			Baltazard Ardent, Melchior, Sophie de Sorlac, Maraconïna			voyages et aventures extraordinaires			ton facétieux				
00.145			TRESSAN, abbé Maurice-Elisabeth de Lavergne de												Le chevalier Robert ou histoire de Robert, surnommé le brave, dernier ouvrage posthume de Louis-Elisabeth Delavergne, comte de Tressan, chevalier de l’Ordre royal et militaire de St.-Louis, commandeur de l’Ordre de St.-Lazare, lieutenant-général des armées du roi, commandant du comté de Bitche et Lorraine allemande, l’un des quarante de l’Académie française, associé libre de celle des sciences de Paris, de la Société royale de Londres, des Académies de Berlin, d’Edimbourg, de Nancy, de Montpellier, de Rouen, etc.		Paris			Giguet et Cie			1800	1800				in-8			250p.		BM BN+ JG III 272; JP 15 fruct., 15 therm. VIII; Mag. enc. VI 1800 iii 566, iv 220 Jacoubet Wespy		‘Cet ouvrage a paru pour la première fois à Pétersbourg où l’abbé de Tressan a fait faire une édition peu nombreuse sur papier vélin... et les héritiers du comte de Tressan en ont cédé la propriété aux citoyens Giguet et compagnie’ (JG). Selon Jacoubet, cette première édition daterait de 1795. Q donne: ‘Saint-Pétersbourg, 179., in-8’. Malgré les affirmations du libraire, ce roman serait non pas par le comte de Tressan mais par le fils de celui-ci, l’abbé de Tressan.					3e personne			Languedoc (fin Xle siècle)			le comte de L..., Roger, Azélaïs, Elvige			intrigue sentimentale et chevaleresque			genre troubadour				
00.146			VILDÉ, madame L.												Betzi ou l’infortunée Créole, histoire véritable par la citoyenne L.V....		Paris			imprimerie de Chaignieau aîné			1800	an VIII				2t. in-12			251, 211p.		Oron+ JG II 344; JP 12 frim. VIII; JT 10 brum. VIII B Monglond Q							3e personne			île de Saint-Domingue, France			Betzi Belfîed, Saint-Clair, Démerie, Zerbine, monsieur d’Alvigni			intrigues amoureuses			sensibilité et prétentions moralisatrices				
